Node,SIR,Infected_sum
666,0.007,0
667,0.004,0
668,0.008,0
669,0.005,0
670,0.002,0
671,0.01,0
672,0.017,0
673,0.014,0
674,0.004,0
675,0.005,0
676,0.008,0
677,0.006,0
678,0.009,0
679,0.001,0
680,0.005,0
681,0.007,0
682,0.003,0
683,0.003,0
684,0.004,0
685,0.009,0
686,0.006,0
687,0.003,0
688,0.002,0
689,0.002,0
690,0.011,0
691,0.003,0
692,0.022,0
693,0.004,0
694,0.005,0
695,0.002,0
696,0.005,0
697,0.006,0
698,0.006,0
699,0.003,0
700,0.008,0
701,0.003,0
702,0.008,0
703,0.005,0
704,0.002,0
705,0.009,0
706,0.004,0
707,0.004,0
708,0.006,0
709,0.004,0
710,0.005,0
711,0.006,0
712,0.013,0
713,0.006,0
714,0.003,0
715,0.005,0
716,0.006,0
717,0.002,0
718,0.001,0
719,0.006,0
720,0.007,0
721,0.007,0
722,0.006,0
723,0.005,0
724,0.002,0
725,0.002,0
726,0.003,0
727,0.009,0
728,0.009,0
729,0.003,0
730,0.007,0
731,0.013,0
732,0.005,0
733,0.003,0
734,0.004,0
735,0.01,0
736,0.006,0
737,0.003,0
738,0.006,0
739,0.009,0
740,0.015,0
741,0.009,0
742,0.004,0
743,0.004,0
744,0.004,0
745,0.002,0
746,0.008,0
747,0.004,0
748,0.009,0
749,0.006,0
750,0.003,0
751,0.015,0
752,0.003,0
753,0.009,0
754,0.005,0
755,0.004,0
756,0.017,0
757,0.008,0
758,0.01,0
759,0.003,0
760,0.008,0
761,0.003,0
762,0.019,0
763,0.002,0
764,0.007,0
765,0.009,0
766,0.005,0
767,0.004,0
768,0.007,0
769,0.01,0
770,0.008,0
771,0.017,0
772,0.008,0
773,0.017,0
774,0.007,0
775,0.005,0
776,0.006,0
777,0.007,0
778,0.004,0
779,0.014,0
780,0.005,0
781,0.011,0
782,0.004,0
783,0.004,0
784,0.005,0
785,0.004,0
786,0.007,0
787,0.004,0
788,0.01,0
789,0.001,0
790,0.01,0
791,0.008,0
792,0.004,0
793,0.004,0
794,0.006,0
795,0.004,0
796,0.006,0
797,0.005,0
798,0.003,0
799,0.011,0
800,0.009,0
801,0.004,0
802,0.005,0
803,0.006,0
804,0.003,0
805,0.004,0
806,0.003,0
807,0.008,0
808,0.013,0
809,0.007,0
810,0.006,0
811,0.004,0
812,0.005,0
813,0.008,0
814,0.001,0
815,0.003,0
816,0.012,0
817,0.006,0
818,0.006,0
819,0.003,0
820,0.003,0
821,0.009,0
822,0.005,0
823,0.005,0
824,0.006,0
825,0.011,0
826,0.006,0
827,0.011,0
828,0.005,0
829,0.008,0
830,0.001,0
831,0.017,0
832,0.007,0
833,0.005,0
834,0.016,0
835,0.015,0
836,0.003,0
837,0.003,0
838,0.005,0
839,0.003,0
840,0.018,0
841,0.012,0
842,0.016,0
843,0.004,0
844,0.007,0
845,0.002,0
846,0.003,0
847,0.017,0
848,0.012,0
849,0.01,0
850,0.008,0
851,0.007,0
852,0.005,0
853,0.004,0
854,0.004,0
855,0.005,0
856,0.004,0
857,0.005,0
858,0.012,0
859,0.006,0
860,0.004,0
861,0.003,0
862,0.005,0
863,0.002,0
864,0.011,0
865,0.002,0
866,0.009,0
867,0.005,0
868,0.002,0
869,0.009,0
870,0.004,0
871,0.007,0
872,0.003,0
873,0.005,0
874,0.006,0
875,0.007,0
876,0.004,0
877,0.005,0
878,0.006,0
879,0.001,0
880,0.006,0
881,0.007,0
882,0.005,0
883,0.007,0
884,0.002,0
885,0.002,0
886,0.003,0
887,0.006,0
888,0.004,0
889,0.009,0
890,0.007,0
891,0.004,0
892,0.007,0
893,0.01,0
894,0.003,0
895,0.004,0
896,0.006,0
897,0.008,0
898,0.003,0
899,0.004,0
900,0.016,0
901,0.008,0
902,0.003,0
903,0.011,0
904,0.006,0
905,0.005,0
906,0.004,0
907,0.007,0
908,0.017,0
909,0.009,0
910,0.005,0
911,0.005,0
912,0.008,0
913,0.002,0
914,0.007,0
915,0.007,0
916,0.005,0
917,0.008,0
918,0.007,0
919,0.005,0
920,0.004,0
921,0.012,0
922,0.012,0
923,0.008,0
924,0.001,0
925,0.01,0
926,0.006,0
927,0.002,0
928,0.001,0
929,0.013,0
930,0.002,0
931,0.008,0
932,0.004,0
933,0.006,0
934,0.006,0
935,0.004,0
936,0.005,0
937,0.006,0
938,0.005,0
939,0.013,0
940,0.004,0
941,0.003,0
942,0.005,0
943,0.018,0
944,0.003,0
945,0.004,0
946,0.016,0
947,0.005,0
948,0.01,0
949,0.005,0
950,0.006,0
951,0.011,0
952,0.002,0
953,0.005,0
954,0.005,0
955,0.004,0
956,0.004,0
957,0.002,0
958,0.004,0
959,0.007,0
960,0.006,0
961,0.008,0
962,0.003,0
963,0.004,0
964,0.004,0
965,0.002,0
966,0.003,0
967,0.007,0
968,0.005,0
969,0.004,0
970,0.01,0
971,0.004,0
972,0.004,0
973,0.006,0
974,0.005,0
975,0.008,0
976,0.004,0
977,0.002,0
978,0.002,0
979,0.005,0
980,0.003,0
981,0.009,0
982,0.002,0
983,0.002,0
984,0.004,0
985,0.003,0
986,0.002,0
987,0.001,0
988,0.004,0
989,0.014,0
990,0.008,0
991,0.009,0
992,0.005,0
993,0.001,0
994,0.004,0
995,0.004,0
996,0.002,0
997,0.006,0
998,0.006,0
999,0.003,0
1000,0.004,0
1001,0.003,0
1002,0.01,0
1003,0.003,0
1004,0.009,0
1005,0.005,0
1006,0.004,0
1007,0.003,0
1008,0.009,0
1009,0.001,0
1010,0.002,0
1011,0.001,0
1012,0.004,0
1013,0.01,0
1014,0.006,0
1015,0.007,0
1016,0.003,0
1017,0.003,0
1018,0.013,0
1019,0.006,0
1020,0.01,0
1021,0.006,0
1022,0.011,0
1023,0.005,0
1024,0.002,0
1025,0.008,0
1026,0.003,0
1027,0.009,0
1028,0.006,0
1029,0.003,0
1030,0.003,0
1031,0.003,0
1032,0.003,0
1033,0.006,0
1034,0.004,0
1035,0.002,0
1036,0.002,0
1037,0.004,0
1038,0.003,0
1039,0.018,0
1040,0.003,0
1041,0.009,0
1042,0.003,0
1043,0.007,0
1044,0.004,0
1045,0.009,0
1046,0.002,0
1047,0.008,0
1048,0.003,0
1049,0.004,0
1050,0.003,0
1051,0.014,0
1052,0.019,0
1053,0.003,0
1054,0.003,0
1055,0.003,0
1056,0.003,0
1057,0.004,0
1058,0.005,0
1059,0.002,0
1060,0.011,0
1061,0.007,0
1062,0.003,0
1063,0.012,0
1064,0.008,0
1065,0.003,0
1066,0.007,0
1067,0.003,0
1068,0.006,0
1069,0.004,0
1070,0.004,0
1071,0.006,0
1072,0.008,0
1073,0.007,0
1074,0.006,0
1075,0.003,0
1076,0.007,0
1077,0.003,0
1078,0.002,0
1079,0.01,0
1080,0.004,0
1081,0.003,0
1082,0.008,0
1083,0.009,0
1084,0.008,0
1085,0.008,0
1086,0.006,0
1087,0.013,0
1088,0.004,0
1089,0.002,0
1090,0.008,0
1091,0.008,0
1092,0.005,0
1093,0.002,0
1094,0.003,0
1095,0.007,0
1096,0.004,0
1097,0.011,0
1098,0.008,0
1099,0.006,0
1100,0.009,0
1101,0.004,0
1102,0.003,0
1103,0.006,0
1104,0.002,0
1105,0.008,0
1106,0.002,0
1107,0.003,0
1108,0.004,0
1109,0.002,0
1110,0.003,0
1111,0.007,0
1112,0.001,0
1113,0.006,0
1114,0.018,0
1115,0.003,0
1116,0.004,0
1117,0.015,0
1118,0.004,0
1119,0.005,0
1120,0.005,0
1121,0.001,0
1122,0.01,0
1123,0.015,0
1124,0.013,0
1125,0.003,0
1126,0.013,0
1127,0.002,0
1128,0.005,0
1129,0.003,0
1130,0.008,0
1131,0.014,0
1132,0.014,0
1133,0.002,0
1134,0.008,0
1135,0.002,0
1136,0.003,0
1137,0.014,0
1138,0.003,0
1139,0.005,0
1140,0.012,0
1141,0.008,0
1142,0.003,0
1143,0.005,0
1144,0.002,0
1145,0.005,0
1146,0.002,0
1147,0.008,0
1148,0.012,0
1149,0.003,0
1150,0.006,0
1151,0.007,0
1152,0.007,0
1153,0.004,0
1154,0.004,0
1155,0.004,0
1156,0.002,0
1157,0.003,0
1158,0.004,0
1159,0.008,0
1160,0.003,0
1161,0.005,0
1162,0.014,0
1163,0.012,0
1164,0.004,0
1165,0.001,0
1166,0.004,0
1167,0.004,0
1168,0.008,0
1169,0.006,0
1170,0.004,0
1171,0.004,0
1172,0.004,0
1173,0.011,0
1174,0.011,0
1175,0.013,0
1176,0.007,0
1177,0.006,0
1178,0.009,0
1179,0.019,0
1180,0.004,0
1181,0.003,0
1182,0.005,0
1183,0.011,0
1184,0.005,0
1185,0.003,0
1186,0.004,0
1187,0.006,0
1188,0.002,0
1189,0.006,0
1190,0.003,0
1191,0.005,0
1192,0.005,0
1193,0.004,0
1194,0.002,0
1195,0.01,0
1196,0.003,0
1197,0.004,0
1198,0.011,0
1199,0.005,0
1200,0.003,0
1201,0.005,0
1202,0.003,0
1203,0.006,0
1204,0.009,0
1205,0.003,0
1206,0.008,0
1207,0.001,0
1208,0.004,0
1209,0.002,0
1210,0.003,0
1211,0.006,0
1212,0.004,0
1213,0.001,0
1214,0.004,0
1215,0.006,0
1216,0.001,0
1217,0.005,0
1218,0.004,0
1219,0.007,0
1220,0.006,0
1221,0.003,0
1222,0.002,0
1223,0.005,0
1224,0.005,0
1225,0.006,0
1226,0.008,0
1227,0.006,0
1228,0.001,0
1229,0.012,0
1230,0.002,0
1231,0.008,0
1232,0.002,0
1233,0.008,0
1234,0.004,0
1235,0.005,0
1236,0.011,0
1237,0.002,0
1238,0.003,0
1239,0.008,0
1240,0.003,0
1241,0.007,0
1242,0.003,0
1243,0.003,0
1244,0.007,0
1245,0.005,0
1246,0.007,0
1247,0.003,0
1248,0.003,0
1249,0.013,0
1250,0.005,0
1251,0.007,0
1252,0.001,0
1253,0.012,0
1254,0.004,0
1255,0.002,0
1256,0.005,0
1257,0.007,0
1258,0.004,0
1259,0.005,0
1260,0.005,0
1261,0.001,0
1262,0.007,0
1263,0.001,0
1264,0.005,0
1265,0.016,0
1266,0.011,0
1267,0.01,0
1268,0.002,0
1269,0.007,0
1270,0.003,0
1271,0.01,0
1272,0.001,0
1273,0.009,0
1274,0.004,0
1275,0.005,0
1276,0.007,0
1277,0.01,0
1278,0.004,0
1279,0.004,0
1280,0.009,0
1281,0.005,0
1282,0.002,0
1283,0.005,0
1284,0.004,0
1285,0.002,0
1286,0.005,0
1287,0.012,0
1288,0.002,0
1289,0.001,0
1290,0.008,0
1291,0.004,0
1292,0.002,0
1293,0.002,0
1294,0.013,0
1295,0.005,0
1296,0.009,0
1297,0.004,0
1298,0.003,0
1299,0.005,0
1300,0.006,0
1301,0.002,0
1302,0.01,0
1303,0.004,0
1304,0.008,0
1305,0.003,0
1306,0.004,0
1307,0.003,0
1308,0.003,0
1309,0.002,0
1310,0.016,0
1311,0.006,0
1312,0.007,0
1313,0.003,0
1314,0.004,0
1315,0.014,0
1316,0.005,0
1317,0.002,0
1318,0.004,0
1319,0.004,0
1320,0.001,0
1321,0.002,0
1322,0.007,0
1323,0.004,0
1324,0.008,0
1325,0.006,0
1326,0.004,0
1327,0.002,0
1328,0.005,0
1329,0.002,0
1330,0.002,0
1331,0.004,0
1332,0.003,0
1333,0.005,0
1334,0.004,0
1335,0.001,0
1336,0.008,0
1337,0.011,0
1338,0.001,0
1339,0.004,0
1340,0.005,0
1341,0.006,0
1342,0.002,0
1343,0.007,0
1344,0.009,0
1345,0.004,0
1346,0.001,0
1347,0.008,0
1348,0.007,0
1349,0.001,0
1350,0.001,0
1351,0.006,0
1352,0.004,0
1353,0.007,0
1354,0.001,0
1355,0.003,0
1356,0.008,0
1357,0.013,0
1358,0.004,0
1359,0.015,0
1360,0.007,0
1361,0.004,0
1362,0.006,0
1363,0.004,0
1364,0.001,0
1365,0.022,0
1366,0.01,0
1367,0.002,0
1368,0.004,0
1369,0.002,0
1370,0.002,0
1371,0.005,0
1372,0.005,0
1373,0.007,0
1374,0.004,0
1375,0.007,0
1376,0.001,0
1377,0.003,0
1378,0.006,0
1379,0.002,0
1380,0.001,0
1381,0.005,0
1382,0.009,0
1383,0.014,0
1384,0.006,0
1385,0.008,0
1386,0.002,0
1387,0.002,0
1388,0.003,0
1389,0.005,0
1390,0.001,0
1391,0.008,0
1392,0.005,0
1393,0.008,0
1394,0.003,0
1395,0.004,0
1396,0.001,0
1397,0.011,0
1398,0.01,0
1399,0.004,0
1400,0.002,0
1401,0.008,0
1402,0.001,0
1403,0.005,0
1404,0.009,0
1405,0.004,0
1406,0.004,0
1407,0.005,0
1408,0.004,0
1409,0.003,0
1410,0.004,0
1411,0.002,0
1412,0.002,0
1413,0.002,0
1414,0.005,0
1415,0.009,0
1416,0.013,0
1417,0.002,0
1418,0.001,0
1419,0.007,0
1420,0.002,0
1421,0.001,0
1422,0.005,0
1423,0.003,0
1424,0.01,0
1425,0.008,0
1426,0.007,0
1427,0.001,0
1428,0.011,0
1429,0.004,0
1430,0.001,0
1431,0.005,0
1432,0.002,0
1433,0.003,0
1434,0.008,0
1435,0.005,0
1436,0.006,0
1437,0.001,0
1438,0.004,0
1439,0.007,0
1440,0.002,0
1441,0.005,0
1442,0.002,0
1443,0.005,0
1444,0.004,0
1445,0.004,0
1446,0.011,0
1447,0.008,0
1448,0.004,0
1449,0.002,0
1450,0.004,0
1451,0.003,0
1452,0.005,0
1453,0.002,0
1454,0.004,0
1455,0.009,0
1456,0.002,0
1457,0.005,0
1458,0.01,0
1459,0.001,0
1460,0.003,0
1461,0.004,0
1462,0.005,0
1463,0.001,0
1464,0.004,0
1465,0.003,0
1466,0.005,0
1467,0.004,0
1468,0.007,0
1469,0.003,0
1470,0.004,0
1471,0.003,0
1472,0.005,0
1473,0.005,0
1474,0.001,0
1475,0.003,0
1476,0.012,0
1477,0.003,0
1478,0.006,0
1479,0.006,0
1480,0.008,0
1481,0.006,0
1482,0.002,0
1483,0.004,0
1484,0.008,0
1485,0.003,0
1486,0.003,0
1487,0.001,0
1488,0.012,0
1489,0.005,0
1490,0.005,0
1491,0.004,0
1492,0.008,0
1493,0.004,0
1494,0.002,0
1495,0.011,0
1496,0.011,0
1497,0.003,0
1498,0.003,0
1499,0.005,0
1500,0.002,0
1501,0.004,0
1502,0.003,0
1503,0.005,0
1504,0.001,0
1505,0.008,0
1506,0.005,0
1507,0.008,0
1508,0.003,0
1509,0.007,0
1510,0.004,0
1511,0.006,0
1512,0.002,0
1513,0.001,0
1514,0.013,0
1515,0.005,0
1516,0.013,0
1517,0.005,0
1518,0.004,0
1519,0.01,0
1520,0.004,0
1521,0.001,0
1522,0.003,0
1523,0.009,0
1524,0.004,0
1525,0.003,0
1526,0.007,0
1527,0.007,0
1528,0.012,0
1529,0.004,0
1530,0.007,0
1531,0.003,0
1532,0.007,0
1533,0.004,0
1534,0.006,0
1535,0.012,0
1536,0.002,0
1537,0.005,0
1538,0.004,0
1539,0.004,0
1540,0.007,0
1541,0.015,0
1542,0.007,0
1543,0.004,0
1544,0.002,0
1545,0.007,0
1546,0.004,0
1547,0.006,0
1548,0.003,0
1549,0.004,0
1550,0.003,0
1551,0.005,0
1552,0.005,0
1553,0.006,0
1554,0.006,0
1555,0.0,0
1556,0.002,0
1557,0.004,0
1558,0.005,0
1559,0.004,0
1560,0.006,0
1561,0.002,0
1562,0.001,0
1563,0.002,0
1564,0.004,0
1565,0.011,0
1566,0.006,0
1567,0.004,0
1568,0.004,0
1569,0.006,0
1570,0.009,0
1571,0.003,0
1572,0.002,0
1573,0.008,0
1574,0.002,0
1575,0.015,0
1576,0.001,0
1577,0.003,0
1578,0.002,0
1579,0.009,0
1580,0.004,0
1581,0.004,0
1582,0.016,0
1583,0.001,0
1584,0.002,0
1585,0.002,0
1586,0.001,0
1587,0.007,0
1588,0.003,0
1589,0.004,0
1590,0.008,0
1591,0.007,0
1592,0.007,0
1593,0.003,0
1594,0.004,0
1595,0.002,0
1596,0.007,0
1597,0.002,0
1598,0.005,0
1599,0.009,0
1600,0.005,0
1601,0.003,0
1602,0.002,0
1603,0.007,0
1604,0.003,0
1605,0.002,0
1606,0.006,0
1607,0.009,0
1608,0.002,0
1609,0.001,0
1610,0.011,0
1611,0.003,0
1612,0.004,0
1613,0.002,0
1614,0.009,0
1615,0.001,0
1616,0.002,0
1617,0.004,0
1618,0.007,0
1619,0.012,0
1620,0.002,0
1621,0.01,0
1622,0.016,0
1623,0.005,0
1624,0.005,0
1625,0.003,0
1626,0.01,0
1627,0.005,0
1628,0.003,0
1629,0.005,0
1630,0.004,0
1631,0.012,0
1632,0.006,0
1633,0.002,0
1634,0.002,0
1635,0.008,0
1636,0.001,0
1637,0.001,0
1638,0.003,0
1639,0.001,0
1640,0.002,0
1641,0.001,0
1642,0.011,0
1643,0.004,0
1644,0.004,0
1645,0.006,0
1646,0.002,0
1647,0.01,0
1648,0.005,0
1649,0.002,0
1650,0.003,0
1651,0.003,0
1652,0.004,0
1653,0.004,0
1654,0.003,0
1655,0.002,0
1656,0.011,0
1657,0.004,0
1658,0.001,0
1659,0.011,0
